name,old,new,source
Quentin Diboundje,Tennessee,East Carolina,
Kobe Dickson,Cornell,Howard,
David Didenko,UT Martin,,
AD Diedhiou,UAB,Louisiana–Monroe,
Rahsool Diggins,Connecticut,Massachusetts,"Adam Zagoria, ZagsBlog"
Josh Dilling,Queens (NC),Northern State,
"Keith Dinwiddie, Jr.",San Diego State,Weber State,"Mark Zeigler, San Diego Union-Tribune"
Assane Diouf,Austin Peay,,
Charles Dismuke,Jackson State,,
Julius Dixon,Morehead State,Missouri Western,
Lewis Djonkam,Radford,Morgan State,
Drake Dobbs,Liberty,St. Thomas,
Marcus Dockery,Maryland,Howard,
Jarvis Doles,Albany,UMBC,
Caleb Donaldson,St. Cloud State,Eastern Illinois,
Travonta Doolittle,Arkansas–Pine Bluff,Mid-America Christian University,
Gabe Dorsey,Vanderbilt,William & Mary,
"Shaun Doss, Jr.",SIUE,Arkansas–Pine Bluff,
Devonaire Doutrive,Boise State,,
Jeremy DowDell,Brigham Young,,
Dreshaun Doyne,Central Arkansas,Arkansas–Pine Bluff,Jake Lieberman
Fousseyni Drame,Saint Peter's,La Salle,"Andrew Slater, Pro Insight"
Hassan Drame,Saint Peter's,La Salle,"Andrew Slater, Pro Insight"
Lloyer Driggs,Tarleton State,Chaminade,"Tobias Bass, Crossover Media"
R.J. Duhart,Appalachian State,Charleston Southern,
Sean Duke,Manhattan,,
Devon Dunn,Fairleigh Dickinson,Campbell,
Joseph Dupree II,Jackson State,,
Oluwasegun Durosinmi,St. Bonaventure,Northern Illinois,
Michael Durr,Indiana,UCF,
Sean Durugordon,Missouri,Austin Peay,"Jeff Goodman, Stadium"
Deng Dut,Wyoming,Southern Utah,"Jon Rothstein, CBS"
Maj Dušanić,San Francisco,Hawaii Pacific,
Brandon Dwyer,La Salle,Florida Gulf Coast,
Freddie Dybala,California Baptist,,
Dhashon Dyson,St. Augustine's,Bethune–Cookman,
Tyree Eady,North Dakota State,North Texas,"Jeff Goodman, Stadium"
Josh Earley,Tulsa,Southeast Missouri State,
Grehlon Easter,Cal State Bakersfield,Eastern New Mexico,
Greg Eboigbodin,Northeastern,,
